year,population
1950,4008
1951,4050
1952,4097
1953,4144
1954,4192
1955,4238
1956,4282
1957,4324
1958,4363
1959,4400
1960,4435
1961,4468
1962,4499
1963,4527
1964,4550
1965,4569
1966,4581
1967,4589
1968,4594
1969,4601
1970,4612
1971,4629
1972,4651
1973,4675
1974,4699
1975,4719
1976,4734
1977,4747
1978,4758
1979,4771
1980,4788
1981,4810
1982,4835
1983,4862
1984,4888
1985,4911
1986,4930
1987,4946
1988,4961
1989,4977
1990,4996
1991,5019
1992,5045
1993,5072
1994,5097
1995,5119
1996,5137
1997,5152
1998,5164
1999,5176
2000,5188
2001,5200
2002,5213
2003,5227
2004,5242
2005,5259
2006,5277
2007,5298
2008,5319
2009,5342
2010,5366
2011,5390
2012,5415
2013,5439
2014,5461
2015,5481
2016,5498
2017,5511
2018,5523
2019,5532
2020,5541
